a_age,a_maritl,a_sex,a_fnlwgt,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,pesa1,cpsyear,iid,bdm1900,yob,black,orace,cdiv,coll,hs
55,1,2,241265,668,252,55,680,56,0,1086,90,0,0,0,2,1990,90020128,416,34,0,0,3,0,1
40,5,2,194908,945,345,78,,,,1040,86,1,1,0,0,1990,90020128,600,49,0,0,3,0,1
26,1,2,212663,1029,255,85,,,,1086,90,0,0,0,0,1990,90020136,774,64,0,0,3,0,1
33,1,2,220326,1027,339,85,1025,85,0,1086,90,0,0,0,2,1990,90020136,688,57,0,0,3,0,1
63,4,2,202219,556,233,46,,,,607,50,1,1,0,0,1990,90020136,323,26,0,0,3,0,1
33,1,2,311023,903,222,75,1055,87,1,975,81,1,1,0,1,1990,90020136,681,56,0,0,3,0,1
47,1,2,274386,759,243,63,765,63,1,1086,90,0,0,0,3,1990,90020136,516,42,0,0,3,0,1
43,1,2,262647,837,269,69,849,70,1,1086,90,0,0,0,5,1990,90020136,568,47,0,0,3,0,0
34,1,2,220047,943,267,78,972,80,1,1011,84,1,1,0,3,1990,90020136,676,56,0,0,3,0,1
46,1,2,362254,757,227,63,796,66,0,1086,90,0,0,0,4,1990,90020144,530,44,0,0,3,0,1
28,1,2,341666,970,229,80,973,81,1,1086,90,0,0,0,2,1990,90020144,741,61,1,0,3,0,1
62,4,2,208479,561,226,46,571,47,1,994,82,0,0,1,2,1990,90020144,335,27,0,0,3,0,0
65,1,2,204781,531,226,44,606,50,1,1086,90,0,0,0,3,1990,90020144,305,25,0,0,3,0,1
40,1,2,359316,872,276,72,909,75,1,1086,90,0,0,0,4,1990,90020144,596,49,0,0,3,1,0
43,1,2,386487,822,264,68,827,68,0,1086,90,0,0,0,2,1990,90020144,558,46,0,0,5,0,1
40,5,2,408594,908,306,75,,,,993,82,1,1,0,0,1990,90020144,602,50,1,0,5,1,0
33,1,2,282580,883,202,73,865,72,1,1086,90,0,0,0,5,1990,90020144,681,56,1,0,5,0,1
54,1,2,475666,702,265,58,706,58,0,1086,90,0,0,0,3,1990,90020144,437,36,0,0,5,0,1
40,1,2,468225,841,247,70,,,,1086,90,0,0,0,0,1990,90020152,594,49,0,0,5,0,1
62,1,2,295193,547,212,45,602,50,0,560,46,1,1,0,6,1990,90020152,335,27,0,0,5,0,0
24,1,2,339532,1035,237,86,1043,86,1,1086,90,0,0,0,1,1990,90020152,798,66,0,0,5,0,1
64,1,2,268590,533,226,44,571,47,1,1086,90,0,0,0,3,1990,90020152,307,25,0,0,5,0,1
46,1,2,312583,731,204,60,770,64,0,968,80,1,1,0,3,1990,90020152,527,43,0,0,5,0,1
46,1,2,298163,749,225,62,762,63,1,787,65,1,1,0,3,1990,90020152,524,43,1,0,5,0,1
41,5,2,370076,866,280,72,,,,981,81,1,1,0,0,1990,90020152,586,48,0,0,5,0,0
62,4,2,432626,566,234,47,583,48,0,813,67,0,0,1,2,1990,90020160,332,27,0,0,5,0,1
